CVE-2016-10723: Fix not seen in stream
CVE-2016-1583: Fix not seen in stream
CVE-2016-2069: Fixed with 3.12.63
CVE-2016-2085: Fixed with 3.12.59
CVE-2016-2117: Fixed with 3.12.60
CVE-2016-2143: Fixed with 3.12.58
CVE-2016-2184: Fixed with 3.12.58
CVE-2016-2185: Fixed with 3.12.58
CVE-2016-2186: Fixed with 3.12.58
CVE-2016-2187: Fixed with 3.12.60
CVE-2016-2188: Fixed with 3.12.73
CVE-2016-2384: Fixed with 3.12.55
CVE-2016-2543: Fixed with 3.12.54
CVE-2016-2544: Fixed with 3.12.54
CVE-2016-2545: Fixed with 3.12.54
CVE-2016-2546: Fixed with 3.12.54
CVE-2016-2547: Fixed with 3.12.54
CVE-2016-2548: Fixed with 3.12.54
CVE-2016-2549: Fixed with 3.12.54
CVE-2016-2782: Fixed with 3.12.58
CVE-2016-2847: Fixed with 3.12.59
CVE-2016-3070: Fixed with 3.12.63
CVE-2016-3134: Fixed with 3.12.59
CVE-2016-3136: Fixed with 3.12.58
CVE-2016-3137: Fixed with 3.12.58
CVE-2016-3138: Fixed with 3.12.58
CVE-2016-3139: Fix not seen in stream
CVE-2016-3140: Fixed with 3.12.58
CVE-2016-3156: Fixed with 3.12.58
CVE-2016-3157: Fixed with 3.12.58
CVE-2016-3672: Fix not seen in stream
CVE-2016-3689: Fixed with 3.12.58
CVE-2016-3841: Fixed with 3.12.52
CVE-2016-3857: Fixed with 3.12.63
CVE-2016-3951: Fixed with 3.12.59
CVE-2016-3955: Fixed with 3.12.59
CVE-2016-3961: Fixed with 3.12.68
CVE-2016-4470: Fixed with 3.12.62
CVE-2016-4482: Fixed with 3.12.62
CVE-2016-4485: Fixed with 3.12.60
CVE-2016-4486: Fixed with 3.12.60
CVE-2016-4565: Fixed with 3.12.61
CVE-2016-4569: Fixed with 3.12.62
CVE-2016-4578: Fixed with 3.12.62
CVE-2016-4580: Fixed with 3.12.60
CVE-2016-4805: Fixed with 3.12.59
CVE-2016-4913: Fixed with 3.12.60
CVE-2016-4997: Fixed with 3.12.62
CVE-2016-4998: Fixed with 3.12.62
CVE-2016-5195: Fixed with 3.12.66
CVE-2016-5243: Fix not seen in stream
CVE-2016-5244: Fixed with 3.12.62
CVE-2016-5696: Fixed with 3.12.63
CVE-2016-5828: Fix not seen in stream
CVE-2016-5829: Fixed with 3.12.62
CVE-2016-6130: Fixed with 3.12.64
CVE-2016-6136: Fix not seen in stream
CVE-2016-6197: Fix not seen in stream
CVE-2016-6198: Fix not seen in stream
CVE-2016-6213: Fix not seen in stream
CVE-2016-6327: Fixed with 3.12.65
CVE-2016-6480: Fixed with 3.12.64
CVE-2016-6786: Fix not seen in stream
CVE-2016-6787: Fix not seen in stream
CVE-2016-6828: Fixed with 3.12.64
CVE-2016-7042: Fixed with 3.12.68
CVE-2016-7097: Fixed with 3.12.70
CVE-2016-7117: Fixed with 3.12.59
CVE-2016-7425: Fixed with 3.12.67
CVE-2016-7910: Fixed with 3.12.63
CVE-2016-7911: Fixed with 3.12.70
CVE-2016-7913: Fixed with 3.12.70
CVE-2016-7915: Fix not seen in stream
CVE-2016-7916: Fixed with 3.12.60
CVE-2016-7917: Fix not seen in stream
CVE-2016-8405: Fixed with 3.12.71
CVE-2016-8632: Fix not seen in stream
CVE-2016-8633: Fixed with 3.12.68
CVE-2016-8645: Fixed with 3.12.68
CVE-2016-8646: Fixed with 3.12.54
CVE-2016-8650: Fixed with 3.12.69
CVE-2016-8655: Fixed with 3.12.69
CVE-2016-8658: Fixed with 3.12.66
CVE-2016-9083: Fixed with 3.12.70
CVE-2016-9084: Fixed with 3.12.70
CVE-2016-9120: Fix not seen in stream
CVE-2016-9178: Fixed with 3.12.64
CVE-2016-9191: Fixed with 3.12.70
CVE-2016-9555: Fixed with 3.12.68
CVE-2016-9588: Fixed with 3.12.70
CVE-2016-9604: Fixed with 3.12.74
CVE-2016-9644: Fix not seen in stream
CVE-2016-9685: Fixed with 3.12.58
CVE-2016-9754: Fixed with 3.12.61
CVE-2016-9793: Fixed with 3.12.69
CVE-2016-9794: Fixed with 3.12.69
CVE-2016-9806: Fixed with 3.12.62
CVE-2017-0630: Fix unknown
CVE-2017-0750: Fix not seen in stream
CVE-2017-0786: Fix not seen in stream
CVE-2017-0861: Fix not seen in stream
CVE-2017-1000: Fix not seen in stream
CVE-2017-1000111: Fix not seen in stream
CVE-2017-1000112: Fix not seen in stream
CVE-2017-1000251: Fix not seen in stream
CVE-2017-1000253: Fixed with 3.12.43
CVE-2017-1000363: Fix not seen in stream
CVE-2017-1000364: Fix not seen in stream
CVE-2017-1000365: Fix not seen in stream
CVE-2017-1000379: Fix not seen in stream
CVE-2017-1000380: Fix not seen in stream
CVE-2017-1000405: Fix not seen in stream
CVE-2017-1000407: Fix not seen in stream
CVE-2017-1000410: Fix not seen in stream
CVE-2017-10661: Fix not seen in stream
CVE-2017-10662: Fix not seen in stream
CVE-2017-10663: Fix not seen in stream
CVE-2017-10810: Fix not seen in stream
CVE-2017-10911: Fix not seen in stream
CVE-2017-11176: Fix not seen in stream
CVE-2017-11472: Fix not seen in stream
CVE-2017-11473: Fix not seen in stream
CVE-2017-11600: Fix not seen in stream
CVE-2017-12134: Fix not seen in stream
CVE-2017-12153: Fix not seen in stream
CVE-2017-12154: Fix not seen in stream
CVE-2017-12168: Fix not seen in stream
CVE-2017-12190: Fix not seen in stream
CVE-2017-12762: Fix not seen in stream
CVE-2017-13080: Fix not seen in stream
CVE-2017-13166: Fix not seen in stream
CVE-2017-13215: Fix not seen in stream
CVE-2017-13216: Fix not seen in stream
CVE-2017-13220: Fix not seen in stream
CVE-2017-13305: Fix not seen in stream
CVE-2017-13693: Fix unknown
CVE-2017-13694: Fix unknown
CVE-2017-13695: Fix not seen in stream
CVE-2017-14051: Fix not seen in stream
CVE-2017-14106: Fix not seen in stream
CVE-2017-14140: Fix not seen in stream
CVE-2017-14156: Fix not seen in stream
CVE-2017-14340: Fix not seen in stream
CVE-2017-14489: Fix not seen in stream
CVE-2017-14991: Fix not seen in stream
CVE-2017-15102: Fixed with 3.12.65
CVE-2017-15115: Fix not seen in stream
CVE-2017-15116: Fix not seen in stream
CVE-2017-15265: Fix not seen in stream
CVE-2017-15274: Fix not seen in stream
CVE-2017-15299: Fix not seen in stream
CVE-2017-15537: Fix not seen in stream
CVE-2017-15649: Fix not seen in stream
CVE-2017-15868: Fix not seen in stream
CVE-2017-16525: Fix not seen in stream
CVE-2017-16526: Fix not seen in stream
CVE-2017-16527: Fix not seen in stream
CVE-2017-16528: Fix not seen in stream
CVE-2017-16529: Fix not seen in stream
CVE-2017-16530: Fix not seen in stream
CVE-2017-16531: Fix not seen in stream
CVE-2017-16532: Fix not seen in stream
CVE-2017-16533: Fix not seen in stream
CVE-2017-16535: Fix not seen in stream
CVE-2017-16536: Fix not seen in stream
CVE-2017-16537: Fix not seen in stream
CVE-2017-16538: Fix not seen in stream
CVE-2017-16643: Fix not seen in stream
CVE-2017-16645: Fix not seen in stream
CVE-2017-16646: Fix not seen in stream
CVE-2017-16649: Fix not seen in stream
CVE-2017-16650: Fix not seen in stream
CVE-2017-16911: Fix not seen in stream
CVE-2017-16912: Fix not seen in stream
CVE-2017-16913: Fix not seen in stream
CVE-2017-16914: Fix not seen in stream
CVE-2017-16939: Fix not seen in stream
CVE-2017-16995: Fix not seen in stream
CVE-2017-16996: Fix not seen in stream
CVE-2017-17448: Fix not seen in stream
CVE-2017-17449: Fix not seen in stream
CVE-2017-17450: Fix not seen in stream
CVE-2017-17558: Fix not seen in stream
CVE-2017-17741: Fix not seen in stream
CVE-2017-17805: Fix not seen in stream
CVE-2017-17806: Fix not seen in stream
CVE-2017-17807: Fix not seen in stream
CVE-2017-17852: Fix not seen in stream
CVE-2017-17853: Fix not seen in stream
CVE-2017-17854: Fix not seen in stream
CVE-2017-17855: Fix not seen in stream
CVE-2017-17856: Fix not seen in stream
CVE-2017-17857: Fix not seen in stream
CVE-2017-17863: Fix not seen in stream
CVE-2017-18017: Fix not seen in stream
CVE-2017-18079: Fix not seen in stream
CVE-2017-18193: Fix not seen in stream
CVE-2017-18203: Fix not seen in stream
CVE-2017-18204: Fix not seen in stream
CVE-2017-18208: Fix not seen in stream
CVE-2017-18216: Fix not seen in stream
CVE-2017-18221: Fix not seen in stream
CVE-2017-18232: Fix not seen in stream
CVE-2017-18241: Fix not seen in stream
CVE-2017-18249: Fix not seen in stream
CVE-2017-18255: Fix not seen in stream
CVE-2017-18257: Fix not seen in stream
CVE-2017-18270: Fix not seen in stream
CVE-2017-18344: Fix not seen in stream
CVE-2017-2583: Fixed with 3.12.70
CVE-2017-2584: Fixed with 3.12.70
CVE-2017-2618: Fixed with 3.12.71
CVE-2017-2636: Fixed with 3.12.72
CVE-2017-2647: Fixed with 3.12.74
CVE-2017-2671: Fixed with 3.12.74
CVE-2017-5549: Fixed with 3.12.70
CVE-2017-5551: Fixed with 3.12.70
CVE-2017-5669: Fixed with 3.12.72
CVE-2017-5715: Fix not seen in stream
CVE-2017-5753: Fix not seen in stream
CVE-2017-5754: Fix not seen in stream
CVE-2017-5897: Fixed with 3.12.71
CVE-2017-5967: Fix not seen in stream
CVE-2017-5970: Fixed with 3.12.71
CVE-2017-5972: Fix not seen in stream
CVE-2017-5986: Fixed with 3.12.71
CVE-2017-6001: Fix not seen in stream
CVE-2017-6074: Fixed with 3.12.71
CVE-2017-6214: Fixed with 3.12.71
CVE-2017-6345: Fixed with 3.12.71
CVE-2017-6346: Fixed with 3.12.71
CVE-2017-6348: Fixed with 3.12.71
CVE-2017-6353: Fixed with 3.12.72
CVE-2017-6951: Fixed with 3.12.74
CVE-2017-7184: Fixed with 3.12.73
CVE-2017-7261: Fixed with 3.12.74
CVE-2017-7273: Fixed with 3.12.70
CVE-2017-7294: Fixed with 3.12.74
CVE-2017-7308: Fixed with 3.12.74
CVE-2017-7472: Fixed with 3.12.74
CVE-2017-7482: Fix not seen in stream
CVE-2017-7487: Fix not seen in stream
CVE-2017-7495: Fixed with 3.12.70
CVE-2017-7518: Fix not seen in stream
CVE-2017-7541: Fix not seen in stream
CVE-2017-7542: Fix not seen in stream
CVE-2017-7616: Fixed with 3.12.74
CVE-2017-7618: Fix not seen in stream
CVE-2017-7645: Fixed with 3.12.74
CVE-2017-7889: Fixed with 3.12.74
CVE-2017-7895: Fix not seen in stream
CVE-2017-8064: Fixed with 3.12.74
CVE-2017-8106: Fix not seen in stream
CVE-2017-8797: Fix not seen in stream
CVE-2017-8824: Fix not seen in stream
CVE-2017-8831: Fix not seen in stream
CVE-2017-8890: Fix not seen in stream
CVE-2017-8924: Fixed with 3.12.73
CVE-2017-8925: Fixed with 3.12.73
CVE-2017-9074: Fix not seen in stream
CVE-2017-9075: Fix not seen in stream
CVE-2017-9076: Fix not seen in stream
CVE-2017-9077: Fix not seen in stream
CVE-2017-9242: Fix not seen in stream
CVE-2017-9984: Fix not seen in stream
CVE-2017-9985: Fix not seen in stream
CVE-2017-9986: Fix not seen in stream
CVE-2018-1000004: Fix not seen in stream
CVE-2018-1000026: Fix not seen in stream
CVE-2018-1000199: Fix not seen in stream
CVE-2018-1000204: Fix not seen in stream
CVE-2018-10021: Fix not seen in stream
CVE-2018-10087: Fix not seen in stream
CVE-2018-10124: Fix not seen in stream
CVE-2018-10322: Fix not seen in stream
CVE-2018-10323: Fix not seen in stream
CVE-2018-1066: Fix not seen in stream
CVE-2018-10675: Fix not seen in stream
CVE-2018-1068: Fix not seen in stream
CVE-2018-1087: Fix not seen in stream
CVE-2018-10876: Fix not seen in stream
CVE-2018-10877: Fix not seen in stream
CVE-2018-10878: Fix not seen in stream
CVE-2018-10879: Fix not seen in stream
CVE-2018-10880: Fix not seen in stream
CVE-2018-10881: Fix not seen in stream
CVE-2018-10882: Fix not seen in stream
CVE-2018-10883: Fix not seen in stream
CVE-2018-10902: Fix not seen in stream
CVE-2018-1092: Fix not seen in stream
CVE-2018-1093: Fix not seen in stream
CVE-2018-1094: Fix not seen in stream
CVE-2018-10940: Fix not seen in stream
CVE-2018-1120: Fix not seen in stream
CVE-2018-1121: Fix unknown
CVE-2018-1128: Fix not seen in stream
CVE-2018-1129: Fix not seen in stream
CVE-2018-1130: Fix not seen in stream
CVE-2018-12233: Fix not seen in stream
CVE-2018-12896: Fix not seen in stream
CVE-2018-12928: Fix unknown
CVE-2018-12929: Fix unknown
CVE-2018-12930: Fix unknown
CVE-2018-12931: Fix unknown
CVE-2018-13053: Fix not seen in stream
CVE-2018-13093: Fix not seen in stream
CVE-2018-13094: Fix not seen in stream
CVE-2018-13095: Fix not seen in stream
CVE-2018-13096: Fix not seen in stream
CVE-2018-13097: Fix not seen in stream
CVE-2018-13098: Fix not seen in stream
CVE-2018-13100: Fix not seen in stream
CVE-2018-13405: Fix not seen in stream
CVE-2018-13406: Fix not seen in stream
CVE-2018-14609: Fix not seen in stream
CVE-2018-14610: Fix not seen in stream
CVE-2018-14611: Fix not seen in stream
CVE-2018-14612: Fix not seen in stream
CVE-2018-14613: Fix not seen in stream
CVE-2018-14614: Fix not seen in stream
CVE-2018-14615: Fix not seen in stream
CVE-2018-14616: Fix not seen in stream
CVE-2018-14617: Fix not seen in stream
CVE-2018-14633: Fix not seen in stream
CVE-2018-14634: Fix not seen in stream
CVE-2018-14734: Fix not seen in stream
CVE-2018-15572: Fix not seen in stream
CVE-2018-16276: Fix not seen in stream
CVE-2018-16658: Fix not seen in stream
CVE-2018-17972: Fix not seen in stream
CVE-2018-17977: Fix unknown
CVE-2018-18021: Fix not seen in stream
CVE-2018-18281: Fix not seen in stream
CVE-2018-18386: Fix not seen in stream
CVE-2018-18690: Fix not seen in stream
CVE-2018-18710: Fix not seen in stream
CVE-2018-19406: Fix unknown
CVE-2018-19407: Fix unknown
CVE-2018-3620: Fix not seen in stream
CVE-2018-3639: Fix not seen in stream
CVE-2018-3646: Fix not seen in stream
CVE-2018-3693: Fix unknown
CVE-2018-5332: Fix not seen in stream
CVE-2018-5333: Fix not seen in stream
CVE-2018-5344: Fix not seen in stream
CVE-2018-5391: Fix not seen in stream
CVE-2018-5750: Fix not seen in stream
CVE-2018-5803: Fix not seen in stream
CVE-2018-5814: Fix not seen in stream
CVE-2018-5848: Fix not seen in stream
CVE-2018-5953: Fix not seen in stream
CVE-2018-5995: Fix not seen in stream
CVE-2018-6412: Fix not seen in stream
CVE-2018-6554: Fix not seen in stream
CVE-2018-6555: Fix not seen in stream
CVE-2018-6559: Fix unknown
CVE-2018-6927: Fix not seen in stream
CVE-2018-7273: Fix not seen in stream
CVE-2018-7480: Fix not seen in stream
CVE-2018-7492: Fix not seen in stream
CVE-2018-7566: Fix not seen in stream
CVE-2018-7754: Fix not seen in stream
CVE-2018-7755: Fix not seen in stream
CVE-2018-7757: Fix not seen in stream
CVE-2018-7995: Fix not seen in stream
CVE-2018-8043: Fix not seen in stream
CVE-2018-8781: Fix not seen in stream
CVE-2018-8822: Fix not seen in stream
CVE-2018-8897: Fix not seen in stream
CVE-2018-9422: Fix not seen in stream
CVE-2018-9465: Fix not seen in stream
CVE-2018-9516: Fix not seen in stream
CVE-2018-9517: Fix not seen in stream
CVE-2018-9518: Fix not seen in stream
